Season,Avg Temperature (C),Avg Humidity (%),Total Precipitation (mm)
2019-01,8.475422427035332,70.20276497695852,77.66666666666667
2019-04,18.11935483870968,66.00573476702509,28.066666666666666
2019-07,23.525089605734767,62.93942652329749,29.36666666666667
2019-10,15.473476702508961,69.24408602150538,55.73333333333333
2020-01,8.450129773822766,69.75046347793845,85.46666666666665
2020-04,16.76845878136201,62.81146953405018,64.10000000000001
2020-07,24.588172043010754,64.13082437275986,5.3
2020-10,15.144802867383513,66.83405017921147,38.9
2021-01,8.248463901689709,69.61981566820276,97.86666666666667
2021-04,16.47347670250896,67.96917562724015,62.36666666666667
2021-07,24.50035842293907,60.517921146953405,22.900000000000002
2021-10,13.514336917562725,70.0146953405018,65.86666666666667
2022-01,6.649385560675884,69.68817204301075,73.13333333333334
2022-04,17.54121863799283,67.17885304659498,45.833333333333336
2022-07,24.855555555555554,59.453046594982084,36.53333333333333
2022-10,14.849820788530465,68.09139784946235,37.266666666666666
2023-01,8.930491551459292,72.18894009216591,76.33333333333333
2023-04,16.272043010752686,72.81505376344086,64.66666666666667
2023-07,24.968817204301075,59.33763440860215,29.133333333333336
2023-10,15.349820788530465,68.77419354838709,141.86666666666667
2024-01,9.42491657397108,71.02892102335929,65.7
2024-04,18.25663082437276,65.27419354838709,42.06666666666667
2024-07,25.138709677419353,61.07777777777778,38.1
2024-10,13.56415770609319,67.48853046594982,68.66666666666667
